receipt_id,text,label,makro_label,total_belanja
1716,ultra milk coklat chitato sapi panggang bimoli l le minerale aqua tepung segitiga biru,Groceries,Food & Beverage,107000
1717,take away bag ice cream cone chicken popcorn,Fast Food,Food & Beverage,41000
1718,bakso urat ayam bakar madu nasi putih mie goreng jawa tax resto service charge,Restaurants,Food & Beverage,222000
1719,bp,Gas & Fuel,Transportation,435000
1720,pertamax turbo,Gas & Fuel,Transportation,375000
1721,nu green tea le minerale indomie ayam bawang teh pucuk pepsodent frisian flag uht,Groceries,Food & Beverage,92500
1722,gula pasir frisian flag uht good day cappuccino bimoli l kecap bango sosis so nice aqua,Groceries,Food & Beverage,193500
1723,lampu led storage box l bantal sofa obeng set rak susun tingkat,Home Improvement,Housing & Utilities,1057000
1724,makarizo hair mask ponds face wash wardah lightening toner revlon lipstick herborist body butter body mist,Beauty,Health & Personal Care,370500
1725,indomie ayam bawang,Groceries,Food & Beverage,3000
1726,maybelline fit me vaseline body lotion ponds face wash,Beauty,Health & Personal Care,252500
1727,sunlight lime fiesta nugget oreo vanilla tepung segitiga biru,Groceries,Food & Beverage,289000
1728,sosis so nice garam refina tissue nice s indomie ayam bawang roma kelapa,Groceries,Food & Beverage,95500
1729,keran air,Home Improvement,Housing & Utilities,104000
1730,bio solar,Gas & Fuel,Transportation,147000
1731,plastik sampah x,Household,Housing & Utilities,19000
1732,filma minyak l kecap bango yakult walls cornetto lifebuoy sabun batang garam refina aqua oreo vanilla frisian flag uht roti tawar sari roti,Groceries,Food & Beverage,239000
1733,burger cheese spaghetti chicken paket burger combo pudding chocolate lemon tea chicken popcorn,Fast Food,Food & Beverage,231000
1734,komix jahe,Health,Health & Personal Care,5000
1735,rinso deterjen spon cuci piring baygon aerosol sikat wc plastik sampah x molto pewangi,Household,Housing & Utilities,258000
1736,sikat wc karbol wangi attack easy,Household,Housing & Utilities,77000
1737,beras ramos teh pucuk telur ayam ultra milk coklat kecap bango,Groceries,Food & Beverage,804000
1738,maybelline fit me scarlett body scrub emina lip cream vaseline body lotion,Beauty,Health & Personal Care,268000
1739,pertalite,Gas & Fuel,Transportation,100000
1740,paket burger combo nasi putih rice bowl chicken ice cream cone chicken popcorn,Fast Food,Food & Beverage,376500
1741,service charge air mineral mie goreng jawa es teh manis,Restaurants,Food & Beverage,193500
1742,spon cuci piring attack easy stella pengharum karbol wangi super pell,Household,Housing & Utilities,352000
1743,memory card lisensi software bln usb hub port anti gores hp,Electronics & Software,Lifestyle & Entertainment,556500
1744,gula pasir,Groceries,Food & Beverage,19000
1745,capcay seafood es teh manis mie goreng jawa,Restaurants,Food & Beverage,79300
1746,sop iga service charge es teh manis es cendol air mineral,Restaurants,Food & Beverage,331000
1747,kwetiau siram sapi,Restaurants,Food & Beverage,153000
1748,walls cornetto roma kelapa teh pucuk gula pasir indomie ayam bawang kecap bango frisian flag uht sunlight lime ultra milk coklat oreo vanilla tepung segitiga biru fiesta nugget mie sedaap soto kopi kapal api mix lifebuoy sabun batang,Groceries,Food & Beverage,384800
1749,oppo a lisensi software bln speaker bluetooth,Electronics & Software,Lifestyle & Entertainment,3859500
1750,spaghetti chicken paket hemat chicken popcorn,Fast Food,Food & Beverage,95000
1751,pertamax turbo,Gas & Fuel,Transportation,455700
1752,paket hemat nasi putih pudding chocolate burger cheese,Fast Food,Food & Beverage,331000
1753,powerbank speaker bluetooth,Electronics & Software,Lifestyle & Entertainment,1011000
1754,bimoli l frisian flag uht pop mie ayam sunlight lime roma kelapa ultra milk coklat walls cornetto gula pasir,Groceries,Food & Beverage,217900
1755,termometer digital minyak kayu putih oralit sachet komix jahe enervon c botol,Health,Health & Personal Care,312000
1756,es teh manis capcay seafood mie goreng jawa dimsum ayam tax resto,Restaurants,Food & Beverage,110500
1757,dexlite,Gas & Fuel,Transportation,56000
1758,good day cappuccino telur ayam le minerale garam refina,Groceries,Food & Beverage,87900
1759,sekrup set keran air pisau dapur gantungan baju set talenan,Home Improvement,Housing & Utilities,578000
1760,promag tablet,Health,Health & Personal Care,17500
1761,oat milk almond croissant lychee tea tax resto matcha latte banana bread,Coffee Shops,Food & Beverage,210500
1762,mie goreng jawa air mineral jeruk hangat mie ayam jamur,Restaurants,Food & Beverage,182100
1763,almond croissant iced americano brownies,Coffee Shops,Food & Beverage,119000
1764,wardah lightening toner emina lip cream,Beauty,Health & Personal Care,78500
1765,kopi kapal api mix kecap bango,Groceries,Food & Beverage,68000
1766,service charge sambal extra spaghetti chicken ice cream cone paket ayam nasi paket burger combo lemon tea spicy chicken wings,Fast Food,Food & Beverage,494100
1767,shell v power,Gas & Fuel,Transportation,390000
1768,yakult le minerale pop mie ayam piattos sapi panggang gula pasir roti tawar sari roti,Groceries,Food & Beverage,88000
1769,indomie goreng sosis so nice roma kelapa,Groceries,Food & Beverage,74000
1770,hansaplast obh combi panadol biru strip oralit sachet,Health,Health & Personal Care,76500
1771,roma kelapa indomie goreng beras ramos indomie ayam bawang aqua walls cornetto,Groceries,Food & Beverage,133800
1772,dexlite,Gas & Fuel,Transportation,168000
1773,air mineral sop iga,Restaurants,Food & Beverage,86000
1774,air mineral soto ayam cumi saus padang,Restaurants,Food & Beverage,134000
1775,nasi putih sop iga service charge,Restaurants,Food & Beverage,223000
1776,kabel roll stop bantal sofa jam dinding sekrup set,Home Improvement,Housing & Utilities,379000
1777,herborist body butter,Beauty,Health & Personal Care,33000
1778,shell super,Gas & Fuel,Transportation,87000
1779,almond croissant es kopi pandan banana bread oat milk cappuccino iced americano,Coffee Shops,Food & Beverage,186500
1780,jaket hoodie dress wanita,Apparel,Lifestyle & Entertainment,881000
1781,lychee tea almond croissant spanish latte es kopi pandan kopi susu gula aren,Coffee Shops,Food & Beverage,169200
1782,filma minyak l telur ayam piattos sapi panggang nu green tea,Groceries,Food & Beverage,96000
1783,spicy chicken wings spaghetti chicken paket hemat,Fast Food,Food & Beverage,446000
1784,caffe latte kopi susu gula aren oat milk matcha latte cheesecake slice spanish latte,Coffee Shops,Food & Beverage,287000
1785,parkir motor tiket pesawat domestik,Transportation,Transportation,5359000
1786,sosis so nice pepsodent tissue nice s le minerale tepung segitiga biru indomie ayam bawang indomie goreng filma minyak l lifebuoy sabun batang fiesta nugget,Groceries,Food & Beverage,298500
1787,extra shot caffe latte matcha latte,Coffee Shops,Food & Beverage,195000
1788,sop iga mie ayam jamur ayam bakar madu bakso urat dimsum ayam capcay seafood,Restaurants,Food & Beverage,263800
1789,bakso urat kwetiau siram sapi soto ayam service charge dimsum ayam jeruk hangat,Restaurants,Food & Beverage,265500
1790,topi baseball,Apparel,Lifestyle & Entertainment,92000
1791,cheesecake slice cinnamon roll kopi susu gula aren matcha latte,Coffee Shops,Food & Beverage,283400
1792,good day cappuccino kopi kapal api mix walls cornetto lifebuoy sabun batang roma kelapa saus sambal abc tepung segitiga biru yakult roti tawar sari roti teh pucuk sosis so nice pepsodent garam refina oreo vanilla ultra milk coklat,Groceries,Food & Beverage,381200
1793,shell super,Gas & Fuel,Transportation,150000
1794,bp,Gas & Fuel,Transportation,507000
1795,rice bowl chicken paket burger combo pudding chocolate ayam goreng crispy paket ayam nasi,Fast Food,Food & Beverage,195000
1796,attack easy tissue paseo s sunlight lime sos pembersih lantai kain pel lap microfiber molto pewangi stella pengharum,Household,Housing & Utilities,345500
1797,silverqueen sunlight lime ultra milk coklat pop mie ayam,Groceries,Food & Beverage,115000
1798,antangin cair sanmol tablet tolak angin box,Health,Health & Personal Care,52200
1799,revvo,Gas & Fuel,Transportation,27000
1800,powerbank,Electronics & Software,Lifestyle & Entertainment,212000
1801,lifebuoy sabun batang roma kelapa aqua filma minyak l,Groceries,Food & Beverage,110800
1802,kemeja oxford kaos basic cotton topi baseball jaket hoodie,Apparel,Lifestyle & Entertainment,853900
1803,roti tawar sari roti frisian flag uht,Groceries,Food & Beverage,29000
1804,lisensi software bln,Electronics & Software,Lifestyle & Entertainment,238000
1805,roma kelapa teh pucuk gula pasir,Groceries,Food & Beverage,63500
1806,oat milk extra shot almond croissant cinnamon roll cheesecake slice chocolate ice,Coffee Shops,Food & Beverage,190300
1807,dimsum ayam bakso urat es teh manis,Restaurants,Food & Beverage,131100
1808,wardah lightening toner emina lip cream vaseline body lotion garnier micellar water body mist,Beauty,Health & Personal Care,255500
1809,bantal sofa pisau dapur pot tanaman talenan lampu led rak susun tingkat,Home Improvement,Housing & Utilities,640500
1810,tissue nice s frisian flag uht filma minyak l telur ayam pop mie ayam,Groceries,Food & Beverage,216000
1811,revvo,Gas & Fuel,Transportation,448000
1812,antangin cair oralit sachet paracetamol mg,Health,Health & Personal Care,15000
1813,burger cheese paket burger combo sambal extra paket hemat chicken popcorn,Fast Food,Food & Beverage,283500
1814,sunlight lime kopi kapal api mix oreo vanilla telur ayam,Groceries,Food & Beverage,56000
1815,ayam bakar madu cumi saus padang,Restaurants,Food & Beverage,356000
1816,dexlite,Gas & Fuel,Transportation,378000
1817,pop mie ayam pepsodent frisian flag uht kopi kapal api mix,Groceries,Food & Beverage,49000
1818,sport bra sandal casual,Apparel,Lifestyle & Entertainment,299000
1819,paket ayam nasi chicken popcorn rice bowl chicken paket hemat spicy chicken wings sambal extra cola medium paket burger combo,Fast Food,Food & Beverage,269000
1820,antangin cair enervon c botol paracetamol mg promag tablet,Health,Health & Personal Care,105000
1821,tiket bus transjakarta tiket krl,Transportation,Transportation,56000
1822,shuttle bandung jkt,Transportation,Transportation,195000
1823,rak susun tingkat talenan storage box l,Home Improvement,Housing & Utilities,558500
1824,pot tanaman storage box l lampu led gantungan baju set kabel roll stop,Home Improvement,Housing & Utilities,669100
1825,silverqueen sosis so nice teh pucuk nu green tea,Groceries,Food & Beverage,49500
1826,indomie goreng sosis so nice le minerale tissue nice s lifebuoy sabun batang fiesta nugget oreo vanilla,Groceries,Food & Beverage,101000
1827,kecap bango pepsodent yakult roti tawar sari roti tepung segitiga biru kopi kapal api mix,Groceries,Food & Beverage,226300
1828,service charge nasi goreng spesial bakso urat,Restaurants,Food & Beverage,125500
1829,stella pengharum lap microfiber baygon aerosol kain pel karbol wangi,Household,Housing & Utilities,338400
1830,sabun cuci tangan wipol tissue paseo s rinso deterjen kain pel karbol wangi sunlight lime lap microfiber molto pewangi sos pembersih lantai,Household,Housing & Utilities,785500
1831,lifebuoy sabun batang oreo vanilla roma kelapa mie sedaap soto ultra milk coklat telur ayam nu green tea teh pucuk le minerale aqua fiesta nugget sosis so nice,Groceries,Food & Beverage,245500
1832,spaghetti chicken paket ayam nasi french fries nasi putih paket hemat,Fast Food,Food & Beverage,294500
1833,tax resto dimsum ayam bakso urat sate ayam tsk ayam bakar madu,Restaurants,Food & Beverage,255000
1834,rice bowl chicken paket hemat,Fast Food,Food & Beverage,116000
1835,air mineral es teh manis capcay seafood bebek goreng,Restaurants,Food & Beverage,265000
1836,silverqueen aqua beras ramos oreo vanilla piattos sapi panggang pop mie ayam garam refina good day cappuccino pepsodent,Groceries,Food & Beverage,228200
1837,cappuccino cinnamon roll banana bread matcha latte,Coffee Shops,Food & Beverage,239600
1838,fiesta nugget pepsodent tepung segitiga biru,Groceries,Food & Beverage,102700
1839,pop mie ayam lifebuoy sabun batang garam refina,Groceries,Food & Beverage,58500
1840,tiket mrt jakarta,Transportation,Transportation,13000
1841,indomie goreng beras ramos filma minyak l indomie ayam bawang tepung segitiga biru teh pucuk aqua lifebuoy sabun batang bimoli l,Groceries,Food & Beverage,263900
1842,nasi putih take away bag french fries,Fast Food,Food & Beverage,50000
1843,sekrup set obeng set organizer drawer storage box l food container set artificial plant lampu led,Home Improvement,Housing & Utilities,1112500
1844,ayam bakar madu pb cumi saus padang sate ayam tsk,Restaurants,Food & Beverage,344800
1845,silverqueen telur ayam walls cornetto ultra milk coklat,Groceries,Food & Beverage,176400
1846,banana bread oat milk cinnamon roll chocolate ice iced americano croissant butter pb,Coffee Shops,Food & Beverage,417300
1847,talenan jam dinding organizer drawer cat tembok storage box l pisau dapur lampu led keran air,Home Improvement,Housing & Utilities,1142000
1848,pixy bedak two way cake maybelline fit me,Beauty,Health & Personal Care,222000
1849,baju anak,Apparel,Lifestyle & Entertainment,160000
1850,garam refina pepsodent piattos sapi panggang ultra milk coklat gula pasir telur ayam,Groceries,Food & Beverage,243500
1851,service charge paket hemat,Fast Food,Food & Beverage,36900
1852,mie goreng jawa service charge mie ayam jamur,Restaurants,Food & Beverage,156000
1853,sosis so nice beras ramos good day cappuccino ultra milk coklat tepung segitiga biru frisian flag uht indomie goreng yakult,Groceries,Food & Beverage,287500
1854,lychee tea caffe latte,Coffee Shops,Food & Beverage,203000
1855,kwetiau siram sapi bebek goreng,Restaurants,Food & Beverage,430500
1856,super pell rinso deterjen wipol karbol wangi,Household,Housing & Utilities,124000
1857,soto ayam dimsum ayam,Restaurants,Food & Beverage,57000
1858,ikat pinggang,Apparel,Lifestyle & Entertainment,165000
1859,chicken popcorn pudding chocolate sambal extra paket burger combo burger cheese spicy chicken wings nasi putih,Fast Food,Food & Beverage,583300
1860,revlon lipstick body mist azarine sunscreen garnier micellar water hand cream,Beauty,Health & Personal Care,794000
1861,piattos sapi panggang teh pucuk roma kelapa pepsodent,Groceries,Food & Beverage,156000
1862,ayam goreng crispy french fries paket burger combo cola medium burger cheese paket ayam nasi take away bag paket hemat,Fast Food,Food & Beverage,294000
1863,sambal extra nasi putih rice bowl chicken paket hemat spicy chicken wings,Fast Food,Food & Beverage,135300
1864,herborist body butter wardah lightening toner ponds face wash scarlett body scrub,Beauty,Health & Personal Care,299000
1865,cola medium paket burger combo,Fast Food,Food & Beverage,144000
1866,makarizo hair mask ellips hair vitamin revlon lipstick vaseline body lotion wardah lightening toner,Beauty,Health & Personal Care,320000
1867,good day cappuccino walls cornetto piattos sapi panggang nu green tea yakult le minerale pop mie ayam,Groceries,Food & Beverage,118500
1868,gurame bakar mie goreng jawa sate ayam tsk pb,Restaurants,Food & Beverage,448000
1869,le minerale pop mie ayam,Groceries,Food & Beverage,9500
1870,sunlight lime baygon aerosol sabun cuci tangan stella pengharum sikat wc wipol kain pel plastik sampah x super pell,Household,Housing & Utilities,645500
1871,shell super,Gas & Fuel,Transportation,560000
1872,spon cuci piring sunlight lime stella pengharum kain pel,Household,Housing & Utilities,227000
1873,dexlite,Gas & Fuel,Transportation,585000
1874,french fries lemon tea paket ayam nasi,Fast Food,Food & Beverage,70000
1875,ponds face wash emina lip cream scarlett body scrub body mist vaseline body lotion,Beauty,Health & Personal Care,265200
1876,sop iga mie ayam jamur nasi putih,Restaurants,Food & Beverage,108500
1877,ayam goreng crispy paket hemat french fries,Fast Food,Food & Beverage,145000
1878,storage box l pisau dapur rak susun tingkat obeng set organizer drawer,Home Improvement,Housing & Utilities,554500
1879,cat tembok pot tanaman sekrup set lampu led obeng set jam dinding keran air,Home Improvement,Housing & Utilities,619000
1880,chicken popcorn take away bag burger cheese service charge rice bowl chicken spicy chicken wings ayam goreng crispy cola medium,Fast Food,Food & Beverage,397100
1881,keran air jam dinding gantungan baju set sekrup set,Home Improvement,Housing & Utilities,277000
1882,mie ayam jamur gurame bakar dimsum ayam service charge sate ayam tsk,Restaurants,Food & Beverage,217500
1883,teh pucuk mie sedaap soto oreo vanilla lifebuoy sabun batang,Groceries,Food & Beverage,66000
1884,chocolate ice kopi susu gula aren es kopi pandan cheesecake slice,Coffee Shops,Food & Beverage,506000
1885,pertalite,Gas & Fuel,Transportation,100000
1886,sanmol tablet tolak angin box antangin cair,Health,Health & Personal Care,61000
1887,kain pel sunlight lime rinso deterjen spon cuci piring,Household,Housing & Utilities,240000
1888,bebek goreng bakso urat gurame bakar sop iga service charge,Restaurants,Food & Beverage,1085000
1889,dress wanita kemeja flanel,Apparel,Lifestyle & Entertainment,747000
1890,shell v power air mineral,Gas & Fuel,Transportation,166000
1891,yakult roti tawar sari roti indomie ayam bawang roma kelapa kecap bango kopi kapal api mix fiesta nugget indomie goreng teh pucuk saus sambal abc,Groceries,Food & Beverage,230500
1892,topi baseball celana chino,Apparel,Lifestyle & Entertainment,363000
1893,spaghetti chicken chicken popcorn,Fast Food,Food & Beverage,270000
1894,tiket bus akap,Transportation,Transportation,249000
1895,sport bra,Apparel,Lifestyle & Entertainment,553800
1896,shell super,Gas & Fuel,Transportation,510000
1897,headset bluetooth webcam full hd keyboard usb kabel data type c charger fast,Electronics & Software,Lifestyle & Entertainment,1474000
1898,spicy chicken wings pudding chocolate,Fast Food,Food & Beverage,52000
1899,panadol biru strip,Health,Health & Personal Care,14000
1900,bakso urat mie goreng jawa soto ayam sop iga dimsum ayam,Restaurants,Food & Beverage,681600
1901,chitato sapi panggang le minerale,Groceries,Food & Beverage,33200
1902,sate ayam tsk sop iga,Restaurants,Food & Beverage,240000
1903,indomie goreng chitato sapi panggang oreo vanilla beras ramos walls cornetto tissue nice s,Groceries,Food & Beverage,178000
1904,rice bowl chicken sambal extra paket hemat lemon tea chicken nugget ayam goreng crispy paket ayam nasi,Fast Food,Food & Beverage,274500
1905,ellips hair vitamin garnier micellar water scarlett body scrub,Beauty,Health & Personal Care,137500
1906,hansaplast tolak angin box,Health,Health & Personal Care,61500
1907,body mist somethinc serum garnier micellar water maybelline fit me,Beauty,Health & Personal Care,437000
1908,paket burger combo pudding chocolate spaghetti chicken burger cheese,Fast Food,Food & Beverage,349000
1909,almond croissant cheesecake slice oat milk,Coffee Shops,Food & Beverage,208800
1910,body mist skintific moisturizer,Beauty,Health & Personal Care,187500
1911,dexlite,Gas & Fuel,Transportation,540000
1912,garnier micellar water makarizo hair mask azarine sunscreen scarlett body scrub vaseline body lotion body mist,Beauty,Health & Personal Care,315000
1913,hand cream maybelline fit me body mist revlon lipstick scarlett body scrub ponds face wash azarine sunscreen,Beauty,Health & Personal Care,1071000
1914,sop iga mie ayam jamur cumi saus padang jeruk hangat,Restaurants,Food & Beverage,956000
1915,filma minyak l telur ayam pepsodent chitato sapi panggang,Groceries,Food & Beverage,324000
1916,pertalite,Gas & Fuel,Transportation,160000
1917,oat milk almond croissant spanish latte cinnamon roll kopi susu gula aren,Coffee Shops,Food & Beverage,199000
1918,chitato sapi panggang roma kelapa garam refina,Groceries,Food & Beverage,45000
1919,kecap bango filma minyak l indomie ayam bawang sosis so nice pop mie ayam lifebuoy sabun batang,Groceries,Food & Beverage,375000
1920,usb hub port redmi note flashdisk,Electronics & Software,Lifestyle & Entertainment,3124000
1921,caffe latte kopi susu gula aren brownies banana bread oat milk iced americano,Coffee Shops,Food & Beverage,258000
1922,kecap bango silverqueen lifebuoy sabun batang telur ayam pop mie ayam kopi kapal api mix tepung segitiga biru tissue nice s nu green tea,Groceries,Food & Beverage,292000
1923,dexlite,Gas & Fuel,Transportation,434000
1924,yakult bimoli l,Groceries,Food & Beverage,33000
1925,paket hemat,Fast Food,Food & Beverage,33000
1926,garam refina teh pucuk mie sedaap soto fiesta nugget aqua silverqueen,Groceries,Food & Beverage,381500
1927,airport train tiket bus transjakarta tiket bus akap,Transportation,Transportation,267500
1928,wardah lightening toner herborist body butter ponds face wash,Beauty,Health & Personal Care,179000
1929,paket burger combo,Fast Food,Food & Beverage,43500
1930,shell v power,Gas & Fuel,Transportation,211000
1931,masker medis sanmol tablet termometer digital promag tablet hansaplast,Health,Health & Personal Care,252000
1932,silverqueen piattos sapi panggang teh pucuk bimoli l sunlight lime sosis so nice walls cornetto,Groceries,Food & Beverage,267500
1933,lisensi software bln headset bluetooth memory card webcam full hd,Electronics & Software,Lifestyle & Entertainment,865000
1934,pop mie ayam indomie goreng pepsodent kecap bango chitato sapi panggang yakult sunlight lime indomie ayam bawang,Groceries,Food & Beverage,139500
1935,lifebuoy sabun batang kopi kapal api mix nu green tea piattos sapi panggang yakult,Groceries,Food & Beverage,175000
1936,cumi saus padang bakso urat service charge bebek goreng soto ayam,Restaurants,Food & Beverage,562000
1937,enervon c botol paracetamol mg,Health,Health & Personal Care,51700
1938,stella pengharum plastik sampah x,Household,Housing & Utilities,105000
1939,emina lip cream pixy bedak two way cake somethinc serum,Beauty,Health & Personal Care,249000
1940,nu green tea piattos sapi panggang kecap bango mie sedaap soto ultra milk coklat roma kelapa tepung segitiga biru oreo vanilla sunlight lime chitato sapi panggang,Groceries,Food & Beverage,360900
1941,gula pasir telur ayam roti tawar sari roti saus sambal abc beras ramos,Groceries,Food & Beverage,614800
1942,caffe latte,Coffee Shops,Food & Beverage,30000
1943,cat tembok sekrup set,Home Improvement,Housing & Utilities,128000
1944,cola medium lemon tea paket ayam nasi pudding chocolate,Fast Food,Food & Beverage,120000
1945,azarine sunscreen maybelline fit me skintific moisturizer,Beauty,Health & Personal Care,350000
1946,herborist body butter,Beauty,Health & Personal Care,48000
1947,es cendol sate ayam tsk bebek goreng,Restaurants,Food & Beverage,633000
1948,garnier micellar water,Beauty,Health & Personal Care,57000
1949,mie ayam jamur service charge es cendol,Restaurants,Food & Beverage,158200
1950,herborist body butter body mist azarine sunscreen pixy bedak two way cake,Beauty,Health & Personal Care,399000
1951,pop mie ayam,Groceries,Food & Beverage,6000
1952,maybelline fit me pixy bedak two way cake hand cream emina lip cream body mist azarine sunscreen scarlett body scrub garnier micellar water revlon lipstick ponds face wash,Beauty,Health & Personal Care,1042400
1953,roma kelapa,Groceries,Food & Beverage,72000
1954,sunlight lime sabun cuci tangan,Household,Housing & Utilities,104000
1955,sosis so nice,Groceries,Food & Beverage,48000
1956,kopi susu gula aren brownies iced americano,Coffee Shops,Food & Beverage,121500
1957,polo shirt,Apparel,Lifestyle & Entertainment,181000
1958,topi baseball celana chino kaos basic cotton dress wanita,Apparel,Lifestyle & Entertainment,849500
1959,dimsum ayam,Restaurants,Food & Beverage,24000
1960,almond croissant,Coffee Shops,Food & Beverage,129000
1961,chocolate ice almond croissant croissant butter,Coffee Shops,Food & Beverage,122500
1962,sunlight lime,Groceries,Food & Beverage,9000
1963,walls cornetto bimoli l,Groceries,Food & Beverage,43000
1964,sos pembersih lantai lap microfiber baygon aerosol wipol karbol wangi spon cuci piring,Household,Housing & Utilities,912000
1965,vaseline body lotion,Beauty,Health & Personal Care,46000
1966,es teh manis air mineral bakso urat jeruk hangat,Restaurants,Food & Beverage,126000
1967,sunlight lime molto pewangi stella pengharum lap microfiber sos pembersih lantai sabun cuci tangan,Household,Housing & Utilities,472100
1968,dimsum ayam,Restaurants,Food & Beverage,26500
1969,nasi putih dimsum ayam sop iga,Restaurants,Food & Beverage,174000
1970,pertamax,Gas & Fuel,Transportation,567000
1971,telur ayam tepung segitiga biru saus sambal abc walls cornetto,Groceries,Food & Beverage,309000
1972,panadol biru strip masker medis termometer digital,Health,Health & Personal Care,105000
1973,lemon tea pudding chocolate burger cheese paket ayam nasi chicken nugget paket burger combo paket hemat french fries,Fast Food,Food & Beverage,337000
1974,wipol sikat wc sos pembersih lantai sunlight lime rinso deterjen super pell stella pengharum sabun cuci tangan,Household,Housing & Utilities,789000
1975,baju anak,Apparel,Lifestyle & Entertainment,139000
1976,tolak angin box sanmol tablet betadine paracetamol mg,Health,Health & Personal Care,95000
1977,cinnamon roll iced americano spanish latte cappuccino,Coffee Shops,Food & Beverage,394000
1978,dimsum ayam es cendol jeruk hangat tax resto,Restaurants,Food & Beverage,112500
1979,nasi putih bebek goreng dimsum ayam kwetiau siram sapi es teh manis gurame bakar jeruk hangat,Restaurants,Food & Beverage,478000
1980,wardah lightening toner pixy bedak two way cake ponds face wash skintific moisturizer,Beauty,Health & Personal Care,278900
1981,skintific moisturizer vaseline body lotion hand cream wardah lightening toner,Beauty,Health & Personal Care,318600
1982,pudding chocolate cola medium sambal extra chicken popcorn,Fast Food,Food & Beverage,123000
1983,sosis so nice frisian flag uht silverqueen pepsodent oreo vanilla saus sambal abc nu green tea,Groceries,Food & Beverage,240000
1984,super pell lap microfiber plastik sampah x tissue paseo s,Household,Housing & Utilities,169100
1985,dexlite,Gas & Fuel,Transportation,340000
1986,bebek goreng sop iga cumi saus padang air mineral service charge capcay seafood es teh manis,Restaurants,Food & Beverage,336600
1987,indomie ayam bawang saus sambal abc mie sedaap soto,Groceries,Food & Beverage,154400
1988,revvo,Gas & Fuel,Transportation,429000
1989,vaseline body lotion emina lip cream,Beauty,Health & Personal Care,120200
1990,croissant butter,Coffee Shops,Food & Beverage,145000
1991,komix jahe enervon c botol masker medis paracetamol mg,Health,Health & Personal Care,173100
1992,good day cappuccino kopi kapal api mix mie sedaap soto nu green tea tepung segitiga biru pepsodent beras ramos le minerale yakult frisian flag uht,Groceries,Food & Beverage,249000
1993,oat milk cinnamon roll es kopi pandan lychee tea brownies iced americano banana bread spanish latte,Coffee Shops,Food & Beverage,262400
1994,sos pembersih lantai stella pengharum attack easy sunlight lime sikat wc rinso deterjen karbol wangi plastik sampah x,Household,Housing & Utilities,602400
1995,bakso urat service charge sop iga jeruk hangat,Restaurants,Food & Beverage,176000
1996,kopi kapal api mix walls cornetto piattos sapi panggang lifebuoy sabun batang gula pasir,Groceries,Food & Beverage,54500
1997,kecap bango good day cappuccino tissue nice s aqua pepsodent lifebuoy sabun batang fiesta nugget,Groceries,Food & Beverage,220500
1998,filma minyak l roti tawar sari roti good day cappuccino walls cornetto chitato sapi panggang frisian flag uht fiesta nugget,Groceries,Food & Beverage,236000
1999,kabel roll stop rak susun tingkat gantungan baju set pisau dapur keran air sekrup set jam dinding organizer drawer storage box l pot tanaman,Home Improvement,Housing & Utilities,1667400
2000,tol dalam kota,Transportation,Transportation,18000
2001,spanish latte,Coffee Shops,Food & Beverage,36000
2002,pertamax turbo,Gas & Fuel,Transportation,510000
2003,paket burger combo sambal extra french fries spaghetti chicken pudding chocolate,Fast Food,Food & Beverage,321000
2004,pop mie ayam aqua oreo vanilla tepung segitiga biru,Groceries,Food & Beverage,121500
2005,webcam full hd flashdisk,Electronics & Software,Lifestyle & Entertainment,435000
2006,tol jakarta cikampek parkir mobil,Transportation,Transportation,50500
2007,airport train,Transportation,Transportation,327000
2008,le minerale,Groceries,Food & Beverage,8000
2009,kabel data type c keyboard usb anti gores hp,Electronics & Software,Lifestyle & Entertainment,409000
2010,tissue nice s filma minyak l teh pucuk beras ramos piattos sapi panggang pop mie ayam tepung segitiga biru ultra milk coklat,Groceries,Food & Beverage,593500
2011,kaos basic cotton celana chino,Apparel,Lifestyle & Entertainment,524000
2012,roti tawar sari roti tepung segitiga biru sosis so nice indomie goreng filma minyak l garam refina,Groceries,Food & Beverage,159000
2013,sabun cuci tangan sikat wc tissue paseo s spon cuci piring super pell sunlight lime lap microfiber,Household,Housing & Utilities,508900
2014,almond croissant banana bread brownies oat milk cinnamon roll iced americano,Coffee Shops,Food & Beverage,462000
2015,dimsum ayam kwetiau siram sapi nasi goreng spesial soto ayam capcay seafood es cendol cumi saus padang es teh manis gurame bakar sate ayam tsk,Restaurants,Food & Beverage,977000
2016,kecap bango piattos sapi panggang bimoli l good day cappuccino aqua beras ramos,Groceries,Food & Beverage,204000
2017,pudding chocolate pb sambal extra,Fast Food,Food & Beverage,74000
2018,shell v power,Gas & Fuel,Transportation,411000
2019,telur ayam walls cornetto sunlight lime,Groceries,Food & Beverage,68000
2020,nu green tea telur ayam yakult silverqueen tissue nice s lifebuoy sabun batang pepsodent,Groceries,Food & Beverage,269000
2021,parkir mobil airport train bagasi tambahan tiket bus akap,Transportation,Transportation,1065000
2022,wipol lap microfiber baygon aerosol sabun cuci tangan spon cuci piring sunlight lime,Household,Housing & Utilities,353500
2023,bodrex flu batuk tolak angin box hansaplast minyak kayu putih,Health,Health & Personal Care,138500
2024,frisian flag uht roma kelapa nu green tea aqua tissue nice s good day cappuccino,Groceries,Food & Beverage,142000
2025,memory card,Electronics & Software,Lifestyle & Entertainment,168000
2026,saus sambal abc mie sedaap soto garam refina tissue nice s,Groceries,Food & Beverage,48000
